generated_rule,ground_truth_rule,meteor,rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure,bert_precision,bert_recall,bert_f1,cosine_similarity
The session is marked as permanent if the '_permanent' key is set to true.,"request, session, g, and current_app are all proxies tied to a context. They only work while the right app or request context is active.",0.1079136690647482,0.2857142857142857,0.16,0.20512820512820512,0.0,0.0,0.0,0.21428571428571427,0.12,0.15384615384615383,0.8704801201820374,0.8613615036010742,0.8658968210220337,0.31190502643585205
The session is marked as permanent if the '_permanent' key is set to true.,"Flask's session object doesn't notice when you mutate something in place, like appending to a list. You need to manually set session.modified = True when that happens.",0.09836065573770492,0.2857142857142857,0.13793103448275862,0.18604651162790697,0.0,0.0,0.0,0.21428571428571427,0.10344827586206896,0.1395348837209302,0.878135085105896,0.8663407564163208,0.8721981048583984,0.39971446990966797
The session is marked as permanent if the '_permanent' key is set to true.,Sessions are stored in a signed cookie that normally disappears when the browser closes. Setting permanent to True keeps it alive for as long as PERMANENT_SESSION_LIFETIME says.,0.21005417887911895,0.5714285714285714,0.27586206896551724,0.37209302325581395,0.15384615384615385,0.07142857142857142,0.0975609756097561,0.35714285714285715,0.1724137931034483,0.23255813953488377,0.8881527781486511,0.8508540391921997,0.8691034317016602,0.7442105412483215
The session is marked as permanent if the '_permanent' key is set to true.,"Trailing slashes matter for routing. A route defined with a trailing slash will redirect a request without one to the slash version, and a route without a trailing slash returns a 404 if someone requests it with one.",0.06476683937823834,0.21428571428571427,0.07894736842105263,0.11538461538461539,0.0,0.0,0.0,0.14285714285714285,0.05263157894736842,0.07692307692307693,0.8465544581413269,0.8356923460960388,0.8410883545875549,0.021622877568006516
The session is marked as permanent if the '_permanent' key is set to true.,"If a route has a default value and also accepts POST, the version with the default should only handle GET, since a redirect can't carry form data along with it.",0.07739938080495357,0.21428571428571427,0.0967741935483871,0.13333333333333333,0.0,0.0,0.0,0.14285714285714285,0.06451612903225806,0.08888888888888889,0.8519960641860962,0.8405677080154419,0.8462432622909546,0.13928969204425812
The session is marked as permanent if the '_permanent' key is set to true.,"Routes default to handling GET, along with HEAD. OPTIONS gets added automatically unless provide_automatic_options is turned off.",0.07614213197969542,0.14285714285714285,0.10526315789473684,0.12121212121212122,0.0,0.0,0.0,0.07142857142857142,0.05263157894736842,0.06060606060606061,0.8670405149459839,0.8600361347198486,0.8635241389274597,0.2820867598056793
The session is marked as permanent if the '_permanent' key is set to true.,"A view's endpoint name comes from its function name unless you set one explicitly, and it automatically gets prefixed with the blueprint's name if it's registered through one.",0.09554140127388534,0.21428571428571427,0.0967741935483871,0.13333333333333333,0.0,0.0,0.0,0.14285714285714285,0.06451612903225806,0.08888888888888889,0.8542123436927795,0.8413739800453186,0.8477445244789124,0.14210255444049835
The session is marked as permanent if the '_permanent' key is set to true.,"If a view function has a required_methods attribute, Flask will always include those methods on the route, even if you explicitly set different ones in the route() call.",0.09554140127388534,0.2857142857142857,0.13793103448275862,0.18604651162790697,0.0,0.0,0.0,0.21428571428571427,0.10344827586206896,0.1395348837209302,0.8742810487747192,0.8559803366661072,0.8650339245796204,0.07742397487163544
The session is considered modified if any changes are made to the session data.,"request, session, g, and current_app are all proxies tied to a context. They only work while the right app or request context is active.",0.12681159420289856,0.35714285714285715,0.2,0.25641025641025644,0.0,0.0,0.0,0.2857142857142857,0.16,0.20512820512820512,0.87436842918396,0.850947380065918,0.862498939037323,0.3133123517036438
The session is considered modified if any changes are made to the session data.,"Flask's session object doesn't notice when you mutate something in place, like appending to a list. You need to manually set session.modified = True when that happens.",0.04950495049504951,0.2857142857142857,0.13793103448275862,0.18604651162790697,0.0,0.0,0.0,0.21428571428571427,0.10344827586206896,0.1395348837209302,0.891970157623291,0.85957932472229,0.8754752278327942,0.4656246304512024
The session is considered modified if any changes are made to the session data.,Sessions are stored in a signed cookie that normally disappears when the browser closes. Setting permanent to True keeps it alive for as long as PERMANENT_SESSION_LIFETIME says.,0.09057971014492755,0.35714285714285715,0.1724137931034483,0.23255813953488377,0.0,0.0,0.0,0.2857142857142857,0.13793103448275862,0.18604651162790697,0.8708940744400024,0.8182581067085266,0.8437559604644775,0.4878832697868347
The session is considered modified if any changes are made to the session data.,"Trailing slashes matter for routing. A route defined with a trailing slash will redirect a request without one to the slash version, and a route without a trailing slash returns a 404 if someone requests it with one.",0.08219401041666667,0.21428571428571427,0.07894736842105263,0.11538461538461539,0.07692307692307693,0.02702702702702703,0.04,0.14285714285714285,0.05263157894736842,0.07692307692307693,0.8645979166030884,0.8302522301673889,0.8470770716667175,0.03963299095630646
The session is considered modified if any changes are made to the session data.,"If a route has a default value and also accepts POST, the version with the default should only handle GET, since a redirect can't carry form data along with it.",0.09345794392523366,0.2857142857142857,0.12903225806451613,0.17777777777777778,0.0,0.0,0.0,0.21428571428571427,0.0967741935483871,0.13333333333333333,0.8667088747024536,0.8363389372825623,0.8512531518936157,0.16036327183246613
The session is considered modified if any changes are made to the session data.,"Routes default to handling GET, along with HEAD. OPTIONS gets added automatically unless provide_automatic_options is turned off.",0.10256410256410256,0.14285714285714285,0.10526315789473684,0.12121212121212122,0.0,0.0,0.0,0.07142857142857142,0.05263157894736842,0.06060606060606061,0.8583859205245972,0.8363100290298462,0.8472041487693787,0.12905113399028778
The session is considered modified if any changes are made to the session data.,"A view's endpoint name comes from its function name unless you set one explicitly, and it automatically gets prefixed with the blueprint's name if it's registered through one.",0.0641025641025641,0.14285714285714285,0.06451612903225806,0.08888888888888889,0.0,0.0,0.0,0.14285714285714285,0.06451612903225806,0.08888888888888889,0.8657617568969727,0.8320373892784119,0.848564624786377,0.1060955673456192
The session is considered modified if any changes are made to the session data.,"If a view function has a required_methods attribute, Flask will always include those methods on the route, even if you explicitly set different ones in the route() call.",0.0641025641025641,0.21428571428571427,0.10344827586206896,0.1395348837209302,0.0,0.0,0.0,0.21428571428571427,0.10344827586206896,0.1395348837209302,0.8666219711303711,0.8414084911346436,0.8538291454315186,0.07451315969228745
"If the session is empty and modified, the corresponding cookie will be deleted.","request, session, g, and current_app are all proxies tied to a context. They only work while the right app or request context is active.",0.10869565217391304,0.3076923076923077,0.16,0.2105263157894737,0.0,0.0,0.0,0.23076923076923078,0.12,0.15789473684210525,0.8789470195770264,0.8488938808441162,0.8636590838432312,0.23159660398960114
"If the session is empty and modified, the corresponding cookie will be deleted.","Flask's session object doesn't notice when you mutate something in place, like appending to a list. You need to manually set session.modified = True when that happens.",0.04950495049504951,0.15384615384615385,0.06896551724137931,0.09523809523809525,0.0,0.0,0.0,0.15384615384615385,0.06896551724137931,0.09523809523809525,0.8766773343086243,0.8558046221733093,0.8661152720451355,0.37320926785469055
"If the session is empty and modified, the corresponding cookie will be deleted.",Sessions are stored in a signed cookie that normally disappears when the browser closes. Setting permanent to True keeps it alive for as long as PERMANENT_SESSION_LIFETIME says.,0.07246376811594203,0.23076923076923078,0.10344827586206896,0.14285714285714288,0.0,0.0,0.0,0.15384615384615385,0.06896551724137931,0.09523809523809525,0.8842724561691284,0.8237612843513489,0.8529449701309204,0.674479603767395
"If the session is empty and modified, the corresponding cookie will be deleted.","Trailing slashes matter for routing. A route defined with a trailing slash will redirect a request without one to the slash version, and a route without a trailing slash returns a 404 if someone requests it with one.",0.07812499999999999,0.3076923076923077,0.10526315789473684,0.1568627450980392,0.0,0.0,0.0,0.15384615384615385,0.05263157894736842,0.0784313725490196,0.8698645830154419,0.8341472744941711,0.8516315817832947,0.079432912170887
"If the session is empty and modified, the corresponding cookie will be deleted.","If a route has a default value and also accepts POST, the version with the default should only handle GET, since a redirect can't carry form data along with it.",0.09345794392523366,0.3076923076923077,0.12903225806451613,0.18181818181818182,0.0,0.0,0.0,0.23076923076923078,0.0967741935483871,0.13636363636363635,0.8820793628692627,0.8408181071281433,0.8609545826911926,0.1932070106267929
"If the session is empty and modified, the corresponding cookie will be deleted.","Routes default to handling GET, along with HEAD. OPTIONS gets added automatically unless provide_automatic_options is turned off.",0.07692307692307691,0.07692307692307693,0.05263157894736842,0.0625,0.0,0.0,0.0,0.07692307692307693,0.05263157894736842,0.0625,0.8595378398895264,0.8385657072067261,0.8489222526550293,0.15089619159698486
"If the session is empty and modified, the corresponding cookie will be deleted.","A view's endpoint name comes from its function name unless you set one explicitly, and it automatically gets prefixed with the blueprint's name if it's registered through one.",0.08012820512820513,0.23076923076923078,0.0967741935483871,0.13636363636363635,0.0,0.0,0.0,0.15384615384615385,0.06451612903225806,0.09090909090909091,0.8680435419082642,0.8339147567749023,0.8506369590759277,0.06250836700201035
"If the session is empty and modified, the corresponding cookie will be deleted.","If a view function has a required_methods attribute, Flask will always include those methods on the route, even if you explicitly set different ones in the route() call.",0.09615384615384616,0.3076923076923077,0.13793103448275862,0.1904761904761905,0.0,0.0,0.0,0.23076923076923078,0.10344827586206896,0.14285714285714288,0.8826987147331238,0.8476128578186035,0.8648000359535217,0.08361321687698364
A cookie will be set if the session has been modified or if the session is permanent and SESSION_REFRESH_EACH_REQUEST is true.,"request, session, g, and current_app are all proxies tied to a context. They only work while the right app or request context is active.",0.12367491166077738,0.2916666666666667,0.28,0.2857142857142857,0.0,0.0,0.0,0.20833333333333334,0.2,0.20408163265306126,0.8351173400878906,0.856510579586029,0.8456786870956421,0.39539676904678345
